Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,27.847500,27.860001,26.837500,27.332500,24.603203,212818400
2015-01-05,27.072500,27.162500,26.352501,26.562500,23.910093,257142000
2015-01-06,26.635000,26.857500,26.157499,26.565001,23.912340,263188400
2015-01-07,26.799999,27.049999,26.674999,26.937500,24.247646,160423600
2015-01-08,27.307501,28.037500,27.174999,27.972500,25.179296,237458000
2015-01-09,28.167500,28.312500,27.552500,28.002501,25.206301,214798000
2015-01-12,28.150000,28.157499,27.200001,27.312500,24.585203,198603200
2015-01-13,27.857500,28.200001,27.227501,27.555000,24.803488,268367600
2015-01-14,27.260000,27.622499,27.125000,27.450001,24.708975,195826400
2015-01-15,27.500000,27.514999,26.665001,26.705000,24.038366,240056000
2015-01-16,26.757500,26.895000,26.299999,26.497499,23.851580,314053200
2015-01-20,26.959999,27.242500,26.625000,27.180000,24.465931,199599600
2015-01-21,27.237499,27.764999,27.067499,27.387501,24.652718,194303600
2015-01-22,27.565001,28.117500,27.430000,28.100000,25.294069,215185600
2015-01-23,28.075001,28.437500,27.882500,28.245001,25.424580,185859200
2015-01-26,28.434999,28.590000,28.200001,28.275000,25.451590,222460000
2015-01-27,28.105000,28.120001,27.257500,27.285000,24.560450,382274800
2015-01-28,29.407499,29.530001,28.827499,28.827499,25.948921,585908400
2015-01-29,29.080000,29.797501,28.889999,29.725000,26.756802,337745600
2015-01-30,29.600000,30.000000,29.212500,29.290001,26.365236,334982000
2015-02-02,29.512501,29.792500,29.020000,29.657499,26.696037,250956400
2015-02-03,29.625000,29.772499,29.402500,29.662500,26.700537,207662800
2015-02-04,29.625000,30.127501,29.577499,29.889999,26.905327,280598800
2015-02-05,30.004999,30.057501,29.812500,29.985001,27.097361,168984800
2015-02-06,30.004999,30.062500,29.612499,29.732500,26.869171,174826400
2015-02-09,29.637501,29.959999,29.607500,29.930000,27.047659,155559200
2015-02-10,30.042500,30.537500,30.040001,30.504999,27.567286,248034000
2015-02-11,30.692499,31.230000,30.625000,31.219999,28.213430,294247200
2015-02-12,31.514999,31.870001,31.392500,31.615000,28.570395,297898000
2015-02-13,31.820000,31.820000,31.412500,31.770000,28.710463,217088800
2015-02-17,31.872499,32.220001,31.730000,31.957500,28.879908,252609600
2015-02-18,31.907499,32.195000,31.862499,32.180000,29.080973,179566800
2015-02-19,32.119999,32.257500,32.082500,32.112499,29.019972,149449600
2015-02-20,32.154999,32.375000,32.012501,32.375000,29.257200,195793600
2015-02-23,32.505001,33.250000,32.415001,33.250000,30.047932,283896400
2015-02-24,33.235001,33.400002,32.792500,33.042500,29.860418,276912400
2015-02-25,32.889999,32.900002,32.037498,32.197498,29.096790,298846800
2015-02-26,32.197498,32.717499,31.652500,32.605000,29.465046,365150000
2015-02-27,32.500000,32.642502,32.060001,32.115002,29.022238,248059200
2015-03-02,32.312500,32.570000,32.075001,32.272499,29.164568,192386800
2015-03-03,32.240002,32.380001,32.022499,32.340000,29.225567,151265200
2015-03-04,32.275002,32.389999,32.080002,32.134998,29.040302,126665200
2015-03-05,32.145000,32.187500,31.440001,31.602501,28.559093,226068400
2015-03-06,32.099998,32.342499,31.565001,31.650000,28.602018,291368400
2015-03-09,31.990000,32.392502,31.264999,31.785000,28.724014,354114000
2015-03-10,31.602501,31.805000,30.950001,31.127501,28.129837,275426400
2015-03-11,31.187500,31.192499,30.527500,30.559999,27.616993,275756000
2015-03-12,30.577499,31.225000,30.407499,31.112499,28.116282,193450800
2015-03-13,31.100000,31.350000,30.645000,30.897499,27.921986,207309200
2015-03-16,30.969999,31.237499,30.717501,31.237499,28.229240,143497200
2015-03-17,31.475000,31.830000,31.412500,31.760000,28.701426,204092400
2015-03-18,31.750000,32.290001,31.592501,32.117500,29.024500,261083600
2015-03-19,32.187500,32.312500,31.850000,31.875000,28.805357,183238000
2015-03-20,32.062500,32.099998,31.290001,31.475000,28.443871,274780400
2015-03-23,31.780001,31.962500,31.629999,31.802500,28.739830,150838800
2015-03-24,31.807501,32.009998,31.639999,31.672501,28.622353,131369200
2015-03-25,31.635000,31.705000,30.844999,30.844999,27.874542,206620800
2015-03-26,30.690001,31.219999,30.650000,31.059999,28.068836,190291600
2015-03-27,31.142500,31.174999,30.727501,30.812500,27.845163,158184800
2015-03-30,31.012501,31.600000,31.000000,31.592501,28.550055,188398800
2015-03-31,31.522499,31.622499,31.090000,31.107500,28.111757,168362400
2015-04-01,31.205000,31.280001,30.775000,31.062500,28.071095,162485600
2015-04-02,31.257500,31.389999,31.047501,31.330000,28.312832,128880400
2015-04-06,31.117500,31.877501,31.082500,31.837500,28.771463,148776000
2015-04-07,31.910000,32.029999,31.495001,31.502501,28.468723,140049200
2015-04-08,31.462500,31.600000,31.242500,31.400000,28.376091,149316800
2015-04-09,31.462500,31.645000,31.165001,31.639999,28.592978,129936000
2015-04-10,31.487499,31.802500,31.315001,31.775000,28.714981,160752000
2015-04-13,32.092499,32.142502,31.652500,31.712500,28.658501,145460400
2015-04-14,31.750000,31.822500,31.477501,31.575001,28.534239,102098400
2015-04-15,31.602501,31.782499,31.502501,31.695000,28.642683,115881600
2015-04-16,31.570000,31.775000,31.527500,31.542500,28.504866,113476000
2015-04-17,31.387501,31.535000,31.115000,31.187500,28.184059,207828000
2015-04-20,31.392500,32.029999,31.292500,31.900000,28.827942,188217200
2015-04-21,32.025002,32.049999,31.667500,31.727501,28.672049,129740400
2015-04-22,31.747499,32.217499,31.580000,32.154999,29.058382,150618000
2015-04-23,32.075001,32.605000,32.035000,32.417500,29.295605,183083600
2015-04-24,32.622501,32.657501,32.307499,32.570000,29.433418,178103600
2015-04-27,33.077499,33.282501,32.787498,33.162498,29.968855,387816800
2015-04-28,33.615002,33.634998,32.392502,32.639999,29.496674,475696000
2015-04-29,32.540001,32.897499,32.075001,32.160000,29.062901,253544400
2015-04-30,32.160000,32.160000,31.145000,31.287500,28.274429,332781600
2015-05-01,31.525000,32.532501,31.325001,32.237499,29.132936,234050400
2015-05-04,32.375000,32.642502,32.064999,32.174999,29.076458,203953200
2015-05-05,32.037498,32.112499,31.445000,31.450001,28.421278,197085600
2015-05-06,31.639999,31.687500,30.840000,31.252501,28.242798,288564000
2015-05-07,31.192499,31.520000,31.004999,31.315001,28.417488,175763600
2015-05-08,31.670000,31.905001,31.527500,31.905001,28.952894,222201600
2015-05-11,31.847500,31.889999,31.407499,31.580000,28.657965,168143200
2015-05-12,31.400000,31.719999,31.205000,31.467501,28.555872,192640000
2015-05-13,31.537500,31.797501,31.467501,31.502501,28.587641,138776800
2015-05-14,31.852501,32.237499,31.790001,32.237499,29.254631,180814000
2015-05-15,32.267502,32.372501,32.052502,32.192501,29.213795,152832000
